customer_id,customer_name,industry,naics,city,state,country,employee_count,annual_revenue
C0001,Atlas Manufacturing 1,Specialty Trade Contractors,238,Chicago,IL,USA,101,186680000
C0002,Legacy Industrial 2,Specialty Trade Contractors,238,Houston,IL,USA,1166,26300000
C0003,Precision Solutions 3,Industrial Machinery,333,Cleveland,PA,USA,526,128810000
C0004,Apex Energy 4,Specialty Trade Contractors,238,Houston,CA,USA,909,59010000
C0005,Atlas Energy 5,Petroleum & Coal,324,Dallas,GA,USA,746,73080000
C0006,Delta Solutions 6,Industrial Machinery,333,Pittsburgh,GA,USA,248,92950000
C0007,Legacy Industrial 7,Industrial Machinery,333,Charlotte,NC,USA,1148,35580000
C0008,Advanced Industrial 8,Chemicals,325,Los Angeles,AZ,USA,790,146450000
C0009,Advanced Systems 9,Petroleum & Coal,324,Pittsburgh,MI,USA,213,214550000
C0010,Atlas Supply 10,Transportation Equipment,336,Pittsburgh,IN,USA,383,95690000
C0011,Atlas Manufacturing 11,Specialty Trade Contractors,238,Atlanta,IL,USA,400,135860000
C0012,Delta Industrial 12,Transportation Equipment,336,Cleveland,MI,USA,1190,58810000
C0013,Atlas Solutions 13,Industrial Machinery,333,Detroit,IN,USA,871,70600000
C0014,Titan Manufacturing 14,Petroleum & Coal,324,Pittsburgh,NC,USA,860,221750000
C0015,Apex Systems 15,Petroleum & Coal,324,Phoenix,PA,USA,1199,137050000
C0016,Summit Solutions 16,Transportation Equipment,336,Atlanta,IN,USA,499,249340000
C0017,Summit Supply 17,Industrial Machinery,333,Indianapolis,TX,USA,274,42450000
C0018,Titan Solutions 18,Utilities,221,Pittsburgh,IL,USA,838,98500000
C0019,Pioneer Energy 19,Utilities,221,Los Angeles,TX,USA,284,172020000
C0020,Titan Industrial 20,Chemicals,325,Pittsburgh,IL,USA,651,111520000
C0021,Northern Supply 21,Utilities,221,Charlotte,OH,USA,1089,228590000
C0022,Summit Solutions 22,Utilities,221,Charlotte,PA,USA,363,96610000
C0023,Advanced Energy 23,Industrial Machinery,333,Pittsburgh,AZ,USA,713,124710000
C0024,Advanced Industrial 24,Petroleum & Coal,324,Atlanta,TX,USA,543,220110000
C0025,Titan Solutions 25,Industrial Machinery,333,Chicago,CA,USA,307,36460000
C0026,Pioneer Supply 26,Chemicals,325,Cleveland,CA,USA,916,241270000
